Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3JDZ1HYUX8UPWYSS1SX3EDRAX96LN4,2019-07-21 14:40:14 -0700,2019-07-21 20:20:57 -0700,AssignmentPayment,,A3CH1Z6J9R38G9,-1.500,32TZXEA1OL4UHS6OW73EFGPSWPL14R,3C6FJU71TRDTAG90D566VRUKM3LUY8
392W9R5GF2C2KF6R9P1G3SBUNVKH8E,2019-07-21 14:40:14 -0700,2019-07-21 18:26:50 -0700,FeePayment,,Mechanical Turk,-0.300,32TZXEA1OL4UHS6OW73EFGPSWPL14R,3C6FJU71TRDTAG90D566VRUKM3LUY8
34F5QJUGDX8M9SI5IKA3W9WLYLOZVQ,2019-07-21 17:47:07 -0700,2019-07-22 01:32:16 -0700,AssignmentPayment,,A1KZ21TSAYUHO4,-1.500,32TZXEA1OL4UHS6OW73EFGPSWPL14R,3T111IHZ5FAMTN9B1ZJLRZE96WP9RP
3W2ZGIEDBG8MVV7TXCU8A6J1JTGVG6,2019-07-21 17:47:07 -0700,2019-07-22 02:45:58 -0700,FeePayment,,Mechanical Turk,-0.300,32TZXEA1OL4UHS6OW73EFGPSWPL14R,3T111IHZ5FAMTN9B1ZJLRZE96WP9RP
38NZXUSQ8VL5WT3UKQJFH69WNPN83A,2019-07-22 16:23:53 -0700,2019-07-22 16:23:53 -0700,Prepayment,Visa (last 4 digits: 4989),A2JDJL3FQ56GO1,144.000,,
3ZQFW562CDOYC60YXX2LGXJYOY8J9V,2019-07-22 05:40:32 -0700,2019-07-22 13:20:13 -0700,AssignmentPayment,,A2N2GFB33ZMYGF,-1.500,32TZXEA1OL4UHS6OW73EFGPSWPL14R,3GD6L00D3THD72TOSE8BQU2G2XC1MU
3736UMAP60WOY2M2MRUFEHW6S88EU3,2019-07-22 05:40:32 -0700,2019-07-22 11:08:06 -0700,FeePayment,,Mechanical Turk,-0.300,32TZXEA1OL4UHS6OW73EFGPSWPL14R,3GD6L00D3THD72TOSE8BQU2G2XC1MU
3DN33T794IG8P01U3EZMV53DIVJHRR,2019-07-23 12:01:50 -0700,2019-07-23 19:36:10 -0700,AssignmentPayment,,A2G0HRT8HS9HRZ,-1.500,391FPZIE4C6421LHD2XHK73TDSBUHF,3JWH6J9I9TXK2IWG6CG09L4PT6BNBB
3R4U7SL5VDMNK2R245YVETSFLZ9DCE,2019-07-23 12:01:50 -0700,2019-07-23 17:59:10 -0700,FeePayment,,Mechanical Turk,-0.300,391FPZIE4C6421LHD2XHK73TDSBUHF,3JWH6J9I9TXK2IWG6CG09L4PT6BNBB
3CI5H3RTGXWE8RDVMD926NK498HXY2,2019-07-23 12:01:50 -0700,2019-07-23 19:14:01 -0700,AssignmentPayment,,AOS2PVHT2HYTL,-1.500,391FPZIE4C6421LHD2XHK73TDSBUHF,3MD9PLUKKJYGKGZWCQW3V3BSK9JNZ3
