"subject","meancuedRt","sdcuedRt","meanChoiceRt","sdChoiceRt","windowWidth","redTask","curId","screenHeight","blueTask","curTime","windowHeight","phase","userAgent","screenWidth","phaseRunTime","blockTime","cycle","cuedRt","difficulty","leftDeckSwitch","condition","chosenDeckId","rightDeckId","rightDeckSwitch","experimentRunTimeMins","choiceResponseKey","stimColor","cuedResponseKey","difference","chosenDeckLocation","task","choiceRt","stimulus","leftDeckId","transition","phaseRunTimeMins","trial","error","block"
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,559,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",376,8,"EE","repeat",4,2,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,427,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",287,8,"EE","repeat",4,3,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,555,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",233,4,"EE","repeat",4,4,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,453,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",284,9,"EE","repeat",4,5,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,574,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",428,1,"EE","repeat",4,6,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,471,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",321,8,"EE","repeat",4,7,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,949,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","red","J","Extreme","left","mag",328,8,"EE","switch",4,8,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,1590,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","red","J","Extreme","left","mag",324,2,"EE","repeat",4,9,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,1095,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",198,8,"EE","switch",4,10,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,755,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",285,1,"EE","repeat",4,11,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,427,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",265,1,"EE","repeat",4,12,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,904,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",200,4,"EE","repeat",4,13,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,537,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",260,1,"EE","repeat",4,14,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,685,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",314,3,"EE","repeat",4,15,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,555,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",457,1,"EE","repeat",4,16,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,473,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","K","Extreme","left","par",257,8,"EE","repeat",4,17,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,773,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",369,6,"EE","repeat",4,18,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,462,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",381,1,"EE","repeat",4,19,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,565,"Easier than Reference",0.1,"EE","EE","reference",0.5,11,"D","blue","J","Extreme","left","par",343,2,"EE","repeat",4,20,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,684,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","red","J","Extreme","right","mag",1279,4,"EE","switch",4,21,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,442,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","blue","K","Extreme","right","par",375,3,"EE","switch",4,22,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,312,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","blue","J","Extreme","right","par",323,7,"EE","repeat",4,23,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,667,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","red","K","Extreme","right","mag",349,2,"EE","switch",4,24,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,324,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","red","J","Extreme","right","mag",101,4,"EE","repeat",4,25,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,390,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","blue","K","Extreme","right","par",424,3,"EE","switch",4,26,1,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,357,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","red","J","Extreme","right","mag",83,2,"EE","switch",4,27,0,1
1,997.938239159001,861.983441116781,357.500648508431,779.860321117907,1490,"mag","3C6FJU71TRDTAG90D566VRUKM3LUY8",864,"par","21/07/2019@14:21:38",758,"dst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1536,2021817,118.518,1,795,"Easier than Reference",0.1,"EE","reference","reference",0.5,11,"F","red","K","Extreme","right","mag",393,9,"EE","repeat",4,28,0,1
