windowWidth,twoChoiceRunTime,workerId,redTask,curId,screenHeight,blueTask,curTime,windowHeight,phase,userAgent,screenWidth,blockTime,block,middleDeckId,highRewardPoints,cuedRt,choiceCode,rightDeckPoints,leftDeckSwitch,chosenDeckLocation,rightDeckId,responseCount,rtThreshold,rsi,rightDeckSwitch,experimentRunTimeMins,currentPoints,stimColor,leftDeckPoints,middleDeckSwitch,condition,task,choiceRt,stimulus,leftDeckId,transition,middleDeckPoints,phaseRunTimeMins,trial,timeout,error,block
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,531,hard,44,22,middle,neutral,1,679,500,82,24,0,blue,55,82,neutral,par,2401,1,easy,startBlock,92,1,1,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,463,hard,44,22,middle,neutral,2,679,500,82,24,46,blue,55,82,neutral,par,2401,7,easy,repeat,92,1,1,0,1,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,filler,87,454,filler,4,79,right,filler,1,679,500,31,25,46,red,15,99,filler,mag,6549,3,filler,switch,41,1,2,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,filler,87,415,filler,4,79,right,filler,2,679,500,31,25,48,red,15,99,filler,mag,6549,4,filler,repeat,41,1,2,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,537,hard,24,19,middle,neutral,1,679,500,82,25,50,blue,45,79,neutral,par,3256,3,easy,switch,82,1,3,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,427,hard,24,19,middle,neutral,2,679,500,82,25,91,red,45,79,neutral,mag,3256,6,easy,switch,82,1,3,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,easy,87,380,decoyNearHard,90,81,left,hard,1,679,500,77,25,132,red,90,17,nearHighDemand,mag,3241,4,decoyNearHard,repeat,53,1,4,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,easy,87,449,decoyNearHard,90,81,left,hard,2,679,500,77,25,177,blue,90,17,nearHighDemand,par,3241,9,decoyNearHard,switch,53,1,4,0,1,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,decoyNearHard,87,413,decoyNearHard,87,21,middle,hard,1,679,500,81,25,177,red,50,85,nearHighDemand,mag,2826,3,easy,switch,87,1,5,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,decoyNearHard,87,531,decoyNearHard,87,21,middle,hard,2,679,500,81,25,221,blue,50,85,nearHighDemand,par,2826,8,easy,switch,87,1,5,0,0,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,416,decoyNearHard,49,82,left,easy,1,679,500,18,25,264,red,86,78,nearHighDemand,mag,3778,6,decoyNearHard,switch,86,1,6,0,1,1
1355,1030634,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@22:06:46,675,threeChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,399.686,1,hard,87,-999,decoyNearHard,49,82,left,easy,2,679,500,18,25,264,red,86,78,nearHighDemand,mag,3778,6,decoyNearHard,repeat,86,1,6,1,0,1
