windowWidth,twoChoiceRunTime,workerId,redTask,curId,screenHeight,blueTask,curTime,windowHeight,phase,userAgent,screenWidth,blockTime,block,highRewardPoints,cuedRt,choiceCode,rightDeckPoints,leftDeckSwitch,condition,rightDeckId,responseCount,rtThreshold,rsi,rightDeckSwitch,experimentRunTimeMins,currentPoints,stimColor,leftDeckPoints,chosenDeckLocation,task,choiceRt,stimulus,leftDeckId,transition,phaseRunTimeMins,trial,timeout,error,block
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,574,filler,26,27,filler,filler,1,679,500,62,15,0,red,8,left,mag,2960,4,filler,startBlock,1,1,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,447,filler,26,27,filler,filler,2,679,500,62,15,4,red,8,left,mag,2960,2,filler,repeat,1,1,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,544,easy,87,21,decoyAbsent,hard,1,679,500,81,15,8,red,50,left,mag,4978,9,easy,repeat,1,2,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,easy,87,21,decoyAbsent,hard,2,679,500,81,15,33,blue,50,left,par,4978,3,easy,switch,1,2,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,filler,59,17,filler,filler,1,679,500,94,15,33,blue,45,left,par,9457,9,filler,repeat,2,3,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,563,filler,59,17,filler,filler,2,679,500,94,15,33,red,45,left,mag,9457,3,filler,switch,2,3,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,filler,28,63,filler,filler,1,679,500,86,15,56,red,58,right,mag,5585,8,filler,repeat,2,4,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,filler,28,63,filler,filler,2,679,500,86,15,56,blue,58,right,par,5585,9,filler,switch,2,4,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,429,filler,7,7,filler,filler,1,679,500,22,15,56,blue,86,left,par,7590,3,filler,repeat,2,5,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,397,filler,7,7,filler,filler,2,679,500,22,15,99,blue,86,left,par,7590,7,filler,repeat,2,5,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,462,hard,46,79,decoyAbsent,easy,1,679,500,19,16,142,red,83,left,mag,2067,2,hard,switch,2,6,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,511,hard,46,79,decoyAbsent,easy,2,679,500,19,16,183,blue,83,left,par,2067,1,hard,switch,2,6,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,374,filler,74,64,filler,filler,1,679,500,61,16,225,red,40,left,mag,6117,4,filler,switch,2,7,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,436,filler,74,64,filler,filler,2,679,500,61,16,245,red,40,left,mag,6117,2,filler,repeat,2,7,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,filler,5,75,filler,filler,1,679,500,79,16,265,blue,21,right,par,5570,6,filler,switch,2,8,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,532,filler,5,75,filler,filler,2,679,500,79,16,265,red,21,right,mag,5570,9,filler,switch,2,8,0,1,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,499,easy,51,78,decoyAbsent,easy,1,679,500,18,16,265,red,88,right,mag,2394,6,hard,repeat,2,9,0,1,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,571,easy,51,78,decoyAbsent,easy,2,679,500,18,16,265,blue,88,right,par,2394,1,hard,switch,2,9,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,easy,52,78,decoyAbsent,easy,1,679,500,18,16,290,blue,89,right,par,2563,4,hard,repeat,2,10,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,510,easy,52,78,decoyAbsent,easy,2,679,500,18,16,290,red,89,right,mag,2563,3,hard,switch,3,10,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,573,filler,41,50,filler,filler,1,679,500,50,16,316,blue,76,right,par,1564,1,filler,switch,3,11,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,423,filler,41,50,filler,filler,2,679,500,50,16,337,blue,76,right,par,1564,1,filler,repeat,3,11,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,426,easy,92,18,decoyAbsent,hard,1,679,500,78,16,357,blue,55,left,par,1528,1,easy,repeat,3,12,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,584,easy,92,18,decoyAbsent,hard,2,679,500,78,16,385,blue,55,left,par,1528,8,easy,repeat,3,12,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,557,filler,46,68,filler,filler,1,679,500,30,16,412,red,38,left,mag,2145,7,filler,switch,3,13,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,483,filler,46,68,filler,filler,2,679,500,30,16,431,red,38,left,mag,2145,7,filler,repeat,3,13,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,filler,41,61,filler,filler,1,679,500,28,16,450,blue,83,left,par,1376,8,filler,switch,3,14,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,534,filler,41,61,filler,filler,2,679,500,28,16,450,red,83,left,mag,1376,8,filler,switch,3,14,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,526,hard,47,83,decoyAbsent,easy,1,679,500,23,16,492,blue,84,left,par,1434,9,hard,switch,3,15,0,1,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,394,hard,47,83,decoyAbsent,easy,2,679,500,23,16,492,red,84,left,mag,1434,1,hard,switch,3,15,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,521,easy,48,84,decoyAbsent,easy,1,679,500,24,16,534,blue,85,right,par,4179,8,hard,switch,3,16,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,634,easy,48,84,decoyAbsent,easy,2,679,500,24,16,558,blue,85,right,par,4179,3,hard,repeat,3,16,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,475,easy,49,77,decoyAbsent,easy,1,679,500,17,17,582,red,86,right,mag,1694,3,hard,switch,3,17,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,easy,49,77,decoyAbsent,easy,2,679,500,17,17,606,blue,86,right,par,1694,9,hard,switch,3,17,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,532,easy,48,80,decoyAbsent,easy,1,679,500,20,17,606,blue,85,right,par,8607,4,hard,repeat,3,18,0,1,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,494,easy,48,80,decoyAbsent,easy,2,679,500,20,17,606,blue,85,right,par,8607,6,hard,repeat,3,18,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,filler,17,37,filler,filler,1,679,500,59,17,630,blue,15,right,par,2328,7,filler,repeat,3,19,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,577,filler,17,37,filler,filler,2,679,500,59,17,630,red,15,right,mag,2328,2,filler,switch,3,19,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,676,filler,86,43,filler,filler,1,679,500,8,17,639,red,58,right,mag,2715,4,filler,repeat,3,20,0,1,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,361,filler,86,43,filler,filler,2,679,500,8,17,639,red,58,right,mag,2715,3,filler,repeat,3,20,0,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,-999,filler,66,63,filler,filler,1,679,500,4,17,682,red,59,right,mag,1268,7,filler,repeat,3,21,1,0,1
1355,603510,A1JPOASA773LKL,mag,37M28K1J0RXJ0I03L0OEZZ0SC62AJH,720,par,04/04/2019@21:49:35,675,twoChoice,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36 Avast/72.0.1174.122",1280,532.636,1,87,391,filler,66,63,filler,filler,2,679,500,4,17,682,red,59,right,mag,1268,1,filler,repeat,4,21,0,0,1
