windowWidth,workerId,redTask,curId,screenHeight,blueTask,curTime,windowHeight,phase,userAgent,screenWidth,phaseRunTime,overalltrial,cuedRt,cuedTrial,chosenDeckId,rightDeckId,selectedDeckLocation,riskyDeckSwitchTop,experimentRunTimeMins,error,choiceResponseKey,choiceTrial,stimColor,cuedResponseKey,safeDeckSwitch,difference,condition,task,difficulty,stimulus,leftDeckId,transition,riskyDeckSwitchBottom,phaseRunTimeMins,selectedRiskyDeck,choiceRt,outcomeSwitch
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,1,3019,1,safeDeck,riskyDeck,left,8,9,0,D,1,blue,K,11,Extreme,HE,mag,Harder than Reference,8,safeDeck,startBlock,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,2,2127,2,safeDeck,riskyDeck,left,8,9,0,D,1,red,J,11,Extreme,HE,par,Harder than Reference,3,safeDeck,switch,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,3,2018,3,safeDeck,riskyDeck,left,8,9,0,D,1,blue,J,11,Extreme,HE,mag,Harder than Reference,4,safeDeck,switch,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,4,1894,4,safeDeck,riskyDeck,left,8,9,0,D,1,blue,J,11,Extreme,HE,mag,Harder than Reference,2,safeDeck,repeat,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,5,1913,5,safeDeck,riskyDeck,left,8,9,0,D,1,red,K,11,Extreme,HE,par,Harder than Reference,2,safeDeck,switch,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,6,2493,6,safeDeck,riskyDeck,left,8,9,0,D,1,blue,K,11,Extreme,HE,mag,Harder than Reference,7,safeDeck,switch,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,7,1154,7,safeDeck,riskyDeck,left,8,9,0,D,1,blue,K,11,Extreme,HE,mag,Harder than Reference,6,safeDeck,repeat,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,8,1579,8,safeDeck,riskyDeck,left,8,9,0,D,1,red,J,11,Extreme,HE,par,Harder than Reference,9,safeDeck,switch,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,9,1356,9,safeDeck,riskyDeck,left,8,9,0,D,1,blue,K,11,Extreme,HE,mag,Harder than Reference,7,safeDeck,switch,14,4,0,9459,11
1373,A3096TLDYOGL4X,par,30H4UDGLT32GOUCQDGJ1RQKE8H0PMF,900,mag,08/08/2019@15:08:59,675,dst,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36",1440,539949,10,2445,10,safeDeck,riskyDeck,left,8,9,0,D,1,red,J,11,Extreme,HE,par,Harder than Reference,1,safeDeck,switch,14,4,0,9459,11
